tissue,median_TPM_gene,dominant_transcript,dominant_pct,2nd_transcript,2nd_pct
Whole_Blood,498.05,ENST00000221978,79.1,ENST00000595217,11.2
Spleen,167.07,ENST00000221978,82.5,ENST00000595217,11.4
Lung,56.54,ENST00000221978,82.8,ENST00000595217,11.7
Small_Intestine_Terminal_Ileum,11.52,ENST00000221978,88.6,ENST00000595217,11.4
Adipose_Visceral_Omentum,10.56,ENST00000221978,88.0,ENST00000595217,12.0
Liver,9.89,ENST00000221978,88.0,ENST00000595217,12.0
Adipose_Subcutaneous,9.08,ENST00000221978,89.7,ENST00000595217,10.3
Cells_EBV-transformed_lymphocytes,8.56,ENST00000221978,77.7,ENST00000595217,18.6
Thyroid,7.65,ENST00000221978,88.6,ENST00000595217,11.4
Breast_Mammary_Tissue,6.81,ENST00000221978,88.9,ENST00000595217,11.1
Fallopian_Tube,6.08,ENST00000221978,86.3,ENST00000595217,13.7
Cervix_Ectocervix,5.53,ENST00000221978,89.2,ENST00000595217,10.8
Artery_Aorta,5.44,ENST00000221978,87.7,ENST00000595217,12.3
Artery_Coronary,5.4,ENST00000221978,87.5,ENST00000595217,12.5
Prostate,5.35,ENST00000221978,88.8,ENST00000595217,11.2
Cervix_Endocervix,5.27,ENST00000221978,85.2,ENST00000595217,14.8
Bladder,5.19,ENST00000221978,87.8,ENST00000595217,12.2
Nerve_Tibial,4.68,ENST00000221978,89.0,ENST00000595217,11.0
Uterus,4.5,ENST00000221978,88.1,ENST00000595217,11.9
Vagina,4.26,ENST00000221978,86.7,ENST00000595217,13.3
Brain_Spinal_cord_cervical_c-1,4.02,ENST00000221978,88.9,ENST00000595217,11.1
Colon_Transverse,3.74,ENST00000221978,87.8,ENST00000595217,12.2
Pituitary,3.62,ENST00000221978,87.3,ENST00000595217,12.7
Kidney_Cortex,3.55,ENST00000221978,87.7,ENST00000595217,12.3
Minor_Salivary_Gland,3.2,ENST00000221978,87.2,ENST00000595217,12.8
Stomach,3.19,ENST00000221978,88.5,ENST00000595217,11.5
Heart_Atrial_Appendage,2.82,ENST00000221978,88.9,ENST00000595217,11.1
Kidney_Medulla,2.82,ENST00000221978,58.5,ENST00000595157,18.5
Esophagus_Mucosa,2.56,ENST00000221978,86.7,ENST00000595217,13.3
Brain_Substantia_nigra,2.32,ENST00000221978,88.2,ENST00000595217,11.8
Esophagus_Muscularis,2.22,ENST00000221978,88.9,ENST00000595217,11.1
Adrenal_Gland,2.21,ENST00000221978,88.7,ENST00000595217,11.3
Artery_Tibial,2.09,ENST00000221978,88.4,ENST00000595217,11.6
Esophagus_Gastroesophageal_Junction,1.91,ENST00000221978,89.2,ENST00000595217,10.8
Testis,1.87,ENST00000221978,61.0,ENST00000595217,39.0
Colon_Sigmoid,1.76,ENST00000221978,87.3,ENST00000595217,12.7
Ovary,1.61,ENST00000221978,86.6,ENST00000595217,13.4
Skin_Sun_Exposed_Lower_leg,1.6,ENST00000221978,88.3,ENST00000595217,11.7
Heart_Left_Ventricle,1.56,ENST00000221978,89.1,ENST00000595217,10.9
Brain_Putamen_basal_ganglia,1.49,ENST00000221978,87.1,ENST00000595217,12.9
Brain_Hypothalamus,1.42,ENST00000221978,89.4,ENST00000595217,10.6
Skin_Not_Sun_Exposed_Suprapubic,1.31,ENST00000221978,88.6,ENST00000595217,11.4
Brain_Caudate_basal_ganglia,1.26,ENST00000221978,86.7,ENST00000595217,13.3
Brain_Cortex,1.16,ENST00000221978,85.2,ENST00000595217,14.8
Brain_Frontal_Cortex_BA9,1.13,ENST00000221978,86.5,ENST00000595217,13.5
Brain_Hippocampus,1.12,ENST00000221978,88.3,ENST00000595217,11.7
Muscle_Skeletal,1.09,ENST00000221978,89.0,ENST00000595217,11.0
Brain_Amygdala,1.08,ENST00000221978,87.6,ENST00000595217,12.4
Brain_Nucleus_accumbens_basal_ganglia,1.08,ENST00000221978,87.9,ENST00000595217,12.1
Brain_Cerebellum,1.03,ENST00000221978,82.5,ENST00000595217,17.5
Brain_Cerebellar_Hemisphere,1.0,ENST00000221978,87.0,ENST00000595217,13.0
Brain_Anterior_cingulate_cortex_BA24,0.97,ENST00000221978,89.0,ENST00000595217,11.0
Pancreas,0.63,ENST00000221978,86.6,ENST00000595217,13.4
Cells_Cultured_fibroblasts,0.1,ENST00000221978,0.0,ENST00000593572,0.0
