query,pdb,chain,tmscore,lddt,fident,alnlen,taxon,matched_molecule,class
NKG7_human_Q16617_AF,6akg,C,0.904,0.7571,0.115,182,Mus musculus,Claudin-3,non-channel tetraspan (claudin; paracellular)
NKG7_human_Q16617_AF,9cmi,A,0.8955,0.7584,0.131,182,Homo sapiens,Claudin-4,non-channel tetraspan (claudin; paracellular)
NKG7_human_Q16617_AF,6akf,A,0.8919,0.7434,0.12,182,Mus musculus,Claudin-3,non-channel tetraspan (claudin; paracellular)
NKG7_human_Q16617_AF,8ss3,C,0.8899,0.7815,0.17,194,Rattus norvegicus,"Glutamate receptor 2, Voltage-dependent calcium channel gamma-5 subunit chimera",channel_auxiliary_subunit (Ca_V/TARP gamma)
NKG7_human_Q16617_AF,8ss7,A,0.8899,0.7766,0.176,193,Rattus norvegicus,"Glutamate receptor 2, Voltage-dependent calcium channel gamma-5 subunit chimera",channel_auxiliary_subunit (Ca_V/TARP gamma)
NKG7_human_Q16617_AF,4p79,A,0.8849,0.7628,0.144,180,Mus musculus,Claudin-15,non-channel tetraspan (claudin; paracellular)
NKG7_human_Q16617_AF,3jbr,E,0.8845,0.6982,0.1,160,Oryctolagus cuniculus,Voltage-dependent calcium channel gamma-1 subunit (Ca_V1.1 gamma; NOT the alpha1S pore),channel_auxiliary_subunit (Ca_V/TARP gamma)
NKG7_human_Q16617_AF,8ss4,C,0.8826,0.7596,0.17,194,Rattus norvegicus,"Glutamate receptor 2, Voltage-dependent calcium channel gamma-5 subunit chimera",channel_auxiliary_subunit (Ca_V/TARP gamma)
NKG7_human_Q16617_AF,5b2g,E,0.8814,0.7244,0.124,177,Tequatrovirus T4,"Endolysin,Claudin-4",non-channel tetraspan (claudin; paracellular)
NKG7_human_Q16617_AF,6ov3,A,0.8805,0.7251,0.142,183,Homo sapiens,Claudin-9,non-channel tetraspan (claudin; paracellular)
NKG7_human_Q16617_AF,9bei,A,0.8772,0.7146,0.114,184,Homo sapiens,Claudin-4,non-channel tetraspan (claudin; paracellular)
NKG7_human_Q16617_AF,5kbt,A,0.8741,0.698,0.17,188,Rattus norvegicus,"Glutamate receptor 2,Voltage-dependent calcium channel gamma-2 subunit",channel_auxiliary_subunit (Ca_V/TARP gamma)
NKG7_human_Q16617_AF,7tnn,D,0.871,0.7496,0.164,207,Rattus norvegicus,"Isoform Flip of Glutamate receptor 2,Voltage-dependent calcium channel gamma-3 subunit chimera",channel_auxiliary_subunit (Ca_V/TARP gamma)
NKG7_human_Q16617_AF,6ake,C,0.8675,0.7391,0.121,173,Mus musculus,Claudin-3,non-channel tetraspan (claudin; paracellular)
NKG7_human_Q16617_AF,7tnl,B,0.8649,0.7531,0.157,210,Rattus norvegicus,"Isoform Flip of Glutamate receptor 2,Voltage-dependent calcium channel gamma-3 subunit chimera",channel_auxiliary_subunit (Ca_V/TARP gamma)
NKG7_human_Q16617_AF,3x29,A,0.8595,0.7572,0.131,175,Mus musculus,Claudin-19,non-channel tetraspan (claudin; paracellular)
NKG7_human_Q16617_AF,7tnj,A,0.855,0.7355,0.17,194,Rattus norvegicus,"Isoform Flip of Glutamate receptor 2,Voltage-dependent calcium channel gamma-3 subunit chimera",channel_auxiliary_subunit (Ca_V/TARP gamma)
NKG7_human_Q16617_AF,8oyv,B,0.8547,0.7073,0.077,180,synthetic construct,De novo designed soluble Claudin,non-channel tetraspan (claudin; paracellular)
NKG7_human_Q16617_AF,9b5z,F,0.8534,0.7769,0.174,201,Mus musculus,Isoform Flip of Glutamate receptor 2,pore-forming subunit (iGluR) [chimera/complex context]
NKG7_human_Q16617_AF,7tnp,C,0.8514,0.7528,0.177,192,Rattus norvegicus,"Isoform Flip of Glutamate receptor 2,Voltage-dependent calcium channel gamma-3 subunit chimera",channel_auxiliary_subunit (Ca_V/TARP gamma)
