pep_id,dG_kcal_mol,sem,n_snap,dG_vs_CTRL,iptm
GALP,-115.811,1.513,25,-17.363,0.7898
CTRL,-98.448,1.117,25,0.0,0.9208
MCH,-76.041,0.717,25,22.407,0.9463
PROK2,-75.921,1.225,25,22.527,0.6345
VGF,-75.919,0.92,25,22.529,0.8883
SCG2,-67.323,1.351,25,31.125,0.8085
PDYN,-55.464,1.288,25,42.984,0.9246
TKN4,-49.588,0.863,25,48.86,0.9039
