pep_id,real_iptm,null_mean,null_sd,z_score,emp_p,n_decoys
PROK2,0.6345,0.7661,0.1261,-1.044,0.8333,5
PDYN,0.9246,0.8992,0.0476,0.535,0.6667,5
MCH,0.9463,0.9057,0.0234,1.736,0.1667,5
GALP,0.7898,0.8339,0.1356,-0.325,0.8333,5
VGF,0.8883,0.8973,0.0153,-0.59,0.6667,5
TKN4,0.9039,0.9233,0.0228,-0.848,0.6667,5
SCG2,0.8085,0.8977,0.0288,-3.097,1.0,5
